valid score sequences on n=8: 167
  score [1, 2, 3, 3, 3, 4, 6, 6]: 47 iso classes  (1466.8s elapsed)
  score [1, 2, 3, 3, 3, 5, 5, 6]: 80 iso classes  (1478.9s elapsed)
  score [1, 2, 3, 3, 4, 4, 4, 7]: 37 iso classes  (1491.1s elapsed)
  score [1, 2, 3, 3, 4, 4, 5, 6]: 360 iso classes  (1503.2s elapsed)
  score [1, 2, 3, 3, 4, 5, 5, 5]: 199 iso classes  (1515.3s elapsed)
  score [1, 2, 3, 4, 4, 4, 4, 6]: 100 iso classes  (1527.4s elapsed)
  score [1, 2, 3, 4, 4, 4, 5, 5]: 308 iso classes  (1539.7s elapsed)
  score [1, 2, 4, 4, 4, 4, 4, 5]: 50 iso classes  (1552.0s elapsed)
  score [1, 3, 3, 3, 3, 3, 5, 7]: 5 iso classes  (1564.3s elapsed)
  score [1, 3, 3, 3, 3, 3, 6, 6]: 5 iso classes  (1576.6s elapsed)
  score [1, 3, 3, 3, 3, 4, 4, 7]: 15 iso classes  (1588.9s elapsed)
  score [1, 3, 3, 3, 3, 4, 5, 6]: 100 iso classes  (1601.2s elapsed)
  score [1, 3, 3, 3, 3, 5, 5, 5]: 29 iso classes  (1613.5s elapsed)
  score [1, 3, 3, 3, 4, 4, 4, 6]: 100 iso classes  (1625.8s elapsed)
  score [1, 3, 3, 3, 4, 4, 5, 5]: 236 iso classes  (1638.2s elapsed)
  score [1, 3, 3, 4, 4, 4, 4, 5]: 182 iso classes  (1650.5s elapsed)
  score [1, 3, 4, 4, 4, 4, 4, 4]: 20 iso classes  (1664.3s elapsed)
  score [2, 2, 2, 2, 2, 5, 6, 7]: 1 iso classes  (1676.5s elapsed)
  score [2, 2, 2, 2, 2, 6, 6, 6]: 1 iso classes  (1688.6s elapsed)
  score [2, 2, 2, 2, 3, 4, 6, 7]: 4 iso classes  (1700.8s elapsed)
  score [2, 2, 2, 2, 3, 5, 5, 7]: 4 iso classes  (1712.9s elapsed)
  score [2, 2, 2, 2, 3, 5, 6, 6]: 8 iso classes  (1725.0s elapsed)
  score [2, 2, 2, 2, 4, 4, 5, 7]: 7 iso classes  (1737.0s elapsed)
  score [2, 2, 2, 2, 4, 4, 6, 6]: 7 iso classes  (1749.0s elapsed)
  score [2, 2, 2, 2, 4, 5, 5, 6]: 24 iso classes  (1761.1s elapsed)
  score [2, 2, 2, 2, 5, 5, 5, 5]: 4 iso classes  (1773.1s elapsed)
  score [2, 2, 2, 3, 3, 3, 6, 7]: 5 iso classes  (1785.2s elapsed)
  score [2, 2, 2, 3, 3, 4, 5, 7]: 37 iso classes  (1797.3s elapsed)
  score [2, 2, 2, 3, 3, 4, 6, 6]: 37 iso classes  (1809.4s elapsed)
